studywords,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate
,b_e_k,,,,,0,14,14,16,,,,,83.9665034,83.9665034,83.9665034,0.0029082,break,[0.025925925925925925],[-0.31203703703703706],[1],[0],[0],[3.797268000023905],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,b_a_e,,,,,0,15,15,17,,,,,87.7679142,87.7679142,87.7679142,0.0046824,brake,[0.032407407407407406],[-0.30092592592592593],[1],[0],[0],[3.360330800001975],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,p_a_t_,,,,,0,16,16,8,,,,,91.1347283,91.1347283,91.1347283,0.004442,plate,[0.07407407407407407],[-0.3037037037037037],[1],[0],[0],[3.562069200037513],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,n_m_,,,,,0,17,17,20,,,,,94.7060513,94.7060513,94.7060513,0.004431,name,[0.07592592592592592],[-0.30185185185185187],[1],[0],[0],[1.761058599979151],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,b_o_,,,,,0,18,18,2,,,,,96.4755168,96.4755168,96.4755168,0.004451,book,[0.07592592592592592],[-0.30185185185185187],[1],[0],[0],[2.277330700017046],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,_a_l,,,,,0,19,19,7,,,,,98.7595225,98.7595225,98.7595225,0.0047766,nail,[0.07592592592592592],[-0.3],[1],[0],[0],[4.526710600010119],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,_i_n_,,,,,0,20,20,4,,,,,103.2878233,103.2878233,103.2878233,0.0031058,piano,[0.07592592592592592],[-0.3],[1],[0],[0],[3.6294826999655925],['text_3'],,,,,3,1,2023-10-04_13h47.40.639,wordfragmentation,2023.1.3,60.10370293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prop of hit for study words,,,8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prop of hit for test words,,,8,,0.727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PS,0.072727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
